Id,Label,timeset,value,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks,Authority,Hub
Halobacteroides_halobius,Halobacteroides,,0,56,78,4,0.490288,0.515906,0.000843,0,0,0.402597,620,0.04635,0.0006,0.002647,0.002647
Corynebacterium_marinum,Corynebacterium,,0,246,362,4,0.565129,0.637055,0.000175,2,0,0.793065,23899,0.411587,0.000985,0.023944,0.023944
Mycobacterium_litorale,Mycobacterium,,0,240,341.32,4,0.564746,0.634354,0.000405,2,0,0.737866,21162,0.388909,0.000984,0.022616,0.022616
Corynebacterium_striatum,Corynebacterium,,0,138,198.22,4,0.514833,0.565026,0.000047,2,0,0.855919,8091,0.208965,0.000639,0.012125,0.012125
Lactobacillus_oris,Lactobacillus,,0.01,257,367.119999,4,0.564746,0.641257,0.000281,2,0,0.746443,24555,0.438889,0.001021,0.025548,0.025548
Cellulophaga_lytica,Cellulophaga,,0,119,162.72,4,0.516109,0.558123,0.000705,3,0,0.625837,4394,0.183665,0.000715,0.010674,0.010674
Mycoplasma_crocodyli,Mycoplasma,,0,68,91.28,4,0.496424,0.52511,0.001353,0,0,0.5777,1316,0.090158,0.000596,0.005218,0.005218
Candidatus_Woesebacteria,Candidatus,,0,10,13.6,4,0.425434,0.446879,0.000047,3,0,0.466667,21,0.007864,0.000261,0.000451,0.000451
Selenomonas_ruminantium,Selenomonas,,0,308,433.8,4,0.595425,0.676771,0.002362,2,0,0.711726,33649,0.534261,0.001224,0.031131,0.031131
Prevotella_jejuni,Prevotella,,5.52,15,20.96,5,0.374887,0.397979,0.000001,1,0,0.952381,100,0.003616,0.000281,0.000178,0.000178
Campylobacter_gracilis,Campylobacter,,1,15,20.46,4,0.384935,0.407263,0.00034,1,0,0.257143,27,0.002055,0.000394,0.000093,0.000093
Chlorobaculum_limnaeum,Chlorobaculum,,0,7,9.84,4,0.35222,0.366747,0.000535,1,0,0.285714,6,0.00069,0.000376,0.000028,0.000028
Chlorobium_limicola,Chlorobium,,0,13,17.48,5,0.369074,0.390676,0.000034,1,0,0.794872,62,0.002778,0.000312,0.000134,0.000134
Streptococcus_mitis,Streptococcus,,8.34,185,261.779999,4,0.549472,0.604142,0.000803,3,0,0.703231,11969,0.281321,0.000875,0.01634,0.01634
Streptococcus_pseudopneumoniae,Streptococcus,,8.34,174,242.26,4,0.546588,0.598239,0.002232,3,0,0.65504,9859,0.256182,0.00089,0.014861,0.014861
Streptococcus_pneumoniae,Streptococcus,,8.34,56,77.5,4,0.491736,0.517107,0.00027,3,0,0.636364,980,0.066112,0.000472,0.003822,0.003822
Rothia_aeria,Rothia,,5.38,31,41.34,4,0.471955,0.492697,0.000244,1,0,0.627957,292,0.0344,0.000342,0.00198,0.00198
Mannheimia_haemolytica,Mannheimia,,0.01,341,496.000001,4,0.608473,0.696078,0.000363,3,0,0.769467,44606,0.616545,0.001291,0.035961,0.035961
Enterococcus_durans,Enterococcus,,0.01,416,613.7,4,0.65129,0.744098,0.001464,3,0,0.672857,58081,0.712665,0.001576,0.04153,0.04153
