Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Methanocorpusculum_labreanum,Methanocorpusculum,,3,5.88,1,1,1,0,16,0,0,17,0.001285,1,3,0.000317,0.07
Psychroflexus_torquis,Psychroflexus,,3,5.88,1,1,1,0,16,0,0,17,0.001285,1,3,0.000317,0.09
Corynebacterium_matruchotii,Corynebacterium,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,13.72
Streptococcus_merionis,Streptococcus,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,548
Mycoplasma_alkalescens,Mycoplasma,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,10.28
Acholeplasma_oculi,Acholeplasma,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.83
Isoptericola_variabilis,Isoptericola,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.1
Cellulomonas_shaoxiangyii,Cellulomonas,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.15
Flavobacterium_arcticum,Flavobacterium,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.6
Acetohalobium_arabaticum,Acetohalobium,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.09
Sphingobacterium_daejeonense,Sphingobacterium,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.21
Marisediminicola_antarctica,Marisediminicola,,31,60.200002,1,1,1,0.000372,17,0,0,18,0.002201,0.51828,241,0.005842,0.02
Lactobacillus_acidipiscis,Lactobacillus,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,2.19
Microcella_alkaliphila,Microcella,,31,60.200002,1,1,1,0.000372,17,0,0,18,0.002201,0.51828,241,0.005842,0.03
Lactobacillus_parabuchneri,Lactobacillus,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,2.19
