Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
nodorum isolate;0.00039;0.00037;0.00036;0.00028;0.00025;0.00021;0.0002;0.00019;0.00019;0.00017;0.00013
Aequorivita sublithincola;0.00006;0;0;0;0;0;0;0.00012;0.00006;0;0
Burkholderia vietnamiensis;0.01654;0.0051;0.00413;0.00227;0.0019;0.00183;0.00175;0.00173;0.0017;0.00137;0.00122
Streptomyces globisporus;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas cichorii;0;0;0;0;0;0;0;0;0.00014;0;0
Cyclobacterium marinum;0;0;0;0;0;0;0;0.00007;0;0.00003;0
Catenulispora acidiphila;0;0;0;0;0;0;0;0.00006;0;0;0
Vibrio coralliilyticus;0;0;0;0;0;0;0;0;0;0;0
Burkholderia seminalis;0.0136;0.01295;0.00357;0;0;0;0;0;0;0;0
Actinomyces radicidentis;0;0;0;0;0.00035;0.00014;0.00042;0.00064;0;0;0.00007
Capnocytophaga haemolytica;0;0;0;0;0;0;0;0;0;0;0
Mycobacterium gallinarum;0;0;0;0;0;0;0;0.00007;0;0;0
Streptomyces phage;0;0;0;0;0;0;0;0;0;0;0
Mesorhizobium erdmanii;0;0;0;0;0;0;0;0.0001;0;0;0
Cronobacter sakazakii;0;0;0;0;0;0;0;0;0;0;0
Leucobacter denitrificans;0;0;0;0;0;0;0;0.00018;0;0;0
Gallibacterium anatis;0.00008;0;0;0.00016;0;0;0;0.00016;0.00008;0.00008;0
Microcella alkaliphila;0;0;0;0;0;0;0;0.00008;0;0;0
Streptococcus pasteurianus;0;0;0;0.0002;0;0;0;0;0;0;0
Burkholderia pseudomallei;0.00637;0.0039;0.00249;0.0023;0.00179;0.00147;0.0011;0.00101;0.00084;0.00075;0.00074
Treponema putidum;0;0;0;0;0;0;0.00008;0.00016;0;0.00008;0
Achromobacter insolitus;0;0;0;0;0;0;0;0;0;0;0
Xanthomonas sacchari;0.00005;0;0;0;0;0;0;0.0001;0;0;0
Caldicellulosiruptor obsidiansis;0;0;0;0;0;0;0;0.00017;0;0;0
Lactobacillus helveticus;0;0;0;0;0;0;0;0;0;0;0
Flavobacterium phage;0;0;0;0;0;0;0;0;0;0;0
Haloferax volcanii;0;0;0;0;0.00008;0;0;0.00015;0;0;0
Coprothermobacter proteolyticus;0;0;0.00015;0;0;0;0;0;0;0;0
Oscillatoria acuminata;0;0;0;0;0;0;0;0.00017;0;0;0
Porphyromonas asaccharolytica;0;0;0;0;0.0001;0.0002;0.0001;0.01363;0;0.0002;0
Eubacterium sulci;0;0;0.00542;0;0.00222;0;0.00012;0.00025;0;0.0016;0
Nocardia terpenica;0;0;0;0;0;0;0;0;0;0;0.00002
Clostridium tetani;0.00023;0;0;0.00092;0;0;0;0;0;0;0
Mycolicibacterium goodii;0;0;0;0;0;0;0;0.00006;0.00003;0;0
Sandaracinus amylolyticus;0;0;0;0;0;0;0;0.00011;0;0;0
Megamonas hypermegale;0;0;0;0;0.0001;0.0001;0;0.00039;0;0;0
Leifsonia xyli;0;0;0;0;0;0;0;0;0;0;0
Nitrosomonas stercoris;0;0;0;0;0;0;0.00009;0;0;0;0
marxianus DMKU3;0.00013;0.00012;0;0;0;0;0;0;0;0.00023;0.00016
Acinetobacter tandoii;0;0;0;0;0;0;0;0.00006;0;0;0.00006
Novosphingobium resinovorum;0;0;0;0;0;0;0;0.00012;0;0;0
Allopseudarcicella aquatilis;0;0;0;0;0;0;0;0.00014;0;0;0
Corynebacterium simulans;0;0;0;0;0;0;0;0;0;0;0
Halieaceae bacterium;0;0;0;0;0;0;0;0.00014;0;0;0
Arcobacter cloacae;0;0;0;0.00008;0;0;0;0;0;0;0
Acholeplasma hippikon;0;0;0;0;0;0;0;0.0006;0;0;0
Paraburkholderia hospita;0.00022;0.00011;0;0;0;0;0;0;0;0;0
